"initial data","nodes number","precision"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","6","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","9","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
"A","12","1.0"
